subject,control_change,training_change,mid_training_change,training_vs_control,baseline_value
1,8.791267164429996e-05,6.37218529949005e-05,1.2707308113499814e-05,-2.419081864939946e-05,0.0041039297662186
10,-5.893016708150012e-05,0.0001915107061555999,0.00036852872092249956,0.00025044087323710003,0.0039801828675958
11,-0.00025416736386260023,0.0003900100736685002,3.4255665505199956e-05,0.0006441774375311004,0.003848458981251
12,0.0002942551813506001,-6.785773220510053e-05,-0.00016174773602129974,-0.00036211291355570064,0.0038575444245893
13,2.491825667830065e-05,0.00011729978977929965,-3.227465272940058e-05,9.2381533100999e-05,0.0041923485918367
14,-0.00020928307283890005,0.0001724211957857,0.0001898276046126005,0.00038170426862460007,0.0042159271929649
16,7.64264235939005e-05,-0.00022305159631660042,-0.00026793538510040075,-0.0002994780199105009,0.0041378384911232
17,0.00033562246623529933,-0.0004924963688401995,-0.00014131551086779982,-0.0008281188350754989,0.0040393966095901
18,0.00021762418201420018,-0.00015731433582210014,7.840568475200003e-05,-0.0003749385178363003,0.0036486877624025
19,0.00016777516973620057,-0.00032707032520330054,-0.00015181570233950038,-0.0004948454949395011,0.0037550703797909
2,-4.114982312929984e-05,-4.028432122110074e-05,1.024358718994256e-07,8.65501908199097e-07,0.0042165480424755
20,-0.0001275701977767,0.00028016652248209935,0.0002513270967313998,0.00040773672025879934,0.0042429499180355
21,0.00021836727293839987,2.8425255185000192e-05,-2.519340401519951e-05,-0.00018994201775339968,0.0037448462868757
22,8.583346955370018e-05,3.135958337479976e-05,-3.4391082462299945e-05,-5.447388617890042e-05,0.003958535174216
3,-5.027951733869995e-05,0.000157554832089,0.00036407338393899986,0.00020783434942769994,0.0035887532984901
4,0.00015930267811509972,-0.00019941087937610028,-1.5066519661499807e-05,-0.0003587135574912,0.0040844550613904
5,-0.0001918338012278,-9.723671113330036e-05,0.00012277281516509964,9.459709009449965e-05,0.0044597847227476
6,-0.00015052298971289946,1.358533615389984e-05,-2.5817857973002567e-06,0.0001641083258667993,0.0041511618896631
7,9.784053061220009e-05,0.0002519633257010998,-7.118599983399997e-05,0.0001541227950888997,0.004302173574581
8,6.632410569110039e-05,-2.8584576904000167e-05,-0.0001390427044965,-9.490868259510055e-05,0.0041198281777003
9,-0.00022085291106680024,-9.261895652899971e-05,-0.00022445823096069965,0.00012823395453780053,0.0041145520894308
