subject,timepoint,node,degree,strength,eigenvector_centrality,betweenness,local_efficiency,clustering
1,1,0,2291.018617445,2291.018617445,,0.00020073603211776515,0.8879103841277559,0.0024632560322820738
1,1,1,3154.811880715,3154.811880715,,0.0013716962194713952,0.8879103841277559,0.002401132525286393
1,1,2,2622.77009011,2622.77009011,,0.0022415523586483774,0.8879103841277559,0.0017844083905002059
1,1,3,3260.33903073,3260.33903073,,0.0009033121445299432,0.8879103841277559,0.0020620049968303224
1,1,4,3461.809504935,3461.809504935,,0.004750752760120442,0.8879103841277559,0.0025521416965581154
1,1,5,2476.918506405,2476.918506405,,0.0032285045165607227,0.8879103841277559,0.0023827501059828916
1,1,6,2430.119523375,2430.119523375,,0.007895617263298762,0.8879103841277559,0.001904370940352226
1,1,7,2106.78906651,2106.78906651,,0.019805955168952828,0.8879103841277559,0.0016343996983215685
1,1,8,1664.84198762,1664.84198762,,0.002375376380060221,0.8879103841277559,0.0017833843584889432
1,1,9,1376.67649195,1376.67649195,,0.005219136835061894,0.8879103841277559,0.0014139448190854647
1,1,10,828.00369592,828.00369592,,0.008062897290063566,0.8879103841277559,0.0012154177528079459
1,1,11,1438.75708877,1438.75708877,,0.008497825359652059,0.8879103841277559,0.0016796282107805567
1,1,12,1701.646436005,1701.646436005,,0.005720976915356306,0.8879103841277559,0.0016670050966041587
1,1,13,1547.048386815,1547.048386815,,0.004984944797591168,0.8879103841277559,0.0012530254230453508
1,1,14,929.292669655,929.292669655,,0.02422214787554366,0.8879103841277559,0.0005924189699518164
1,1,15,1056.19018806,1056.19018806,,0.012629642020742723,0.8879103841277559,0.00048816378226966317
1,1,16,1027.165940685,1027.165940685,,0.01983941117430579,0.8879103841277559,0.0005738304387009176
1,1,17,857.2502342399999,857.2502342399999,,0.02226497156239545,0.8879103841277559,0.0006501619998901874
1,1,18,923.1155029399999,923.1155029399999,,0.0117096018735363,0.8879103841277559,0.0007384193277964231
1,1,19,1249.437043515,1249.437043515,,0.005352960856473738,0.8879103841277559,0.0007436814774024897
1,1,20,1438.6946329300001,1438.6946329300001,,0.012947474071595853,0.8879103841277559,0.0008057285029749248
1,1,21,1197.25889755,1197.25889755,,0.003094680495148879,0.8879103841277559,0.000692936508658059
1,1,22,1168.445877255,1168.445877255,,0.002626296420207427,0.8879103841277559,0.0007656434214023392
1,1,23,1314.094610045,1314.094610045,,0.016694546671127467,0.8879103841277559,0.0005685964401470717
1,1,24,1226.32159907,1226.32159907,,0.006691201070592172,0.8879103841277559,0.0007015183258226032
1,1,25,1588.712996975,1588.712996975,,0.0017062562730010037,0.8879103841277559,0.0015475731198908535
1,1,26,3355.692545285,3355.692545285,,0.000234192037470726,0.8879103841277559,0.0027979339301403097
1,1,27,2509.463259435,2509.463259435,,0.00036801605888256943,0.8879103841277559,0.00221668999740366
1,1,28,599.818805245,599.818805245,,0.002107728337236534,0.8879103841277559,0.00041246255081442125
1,1,29,743.874273175,743.874273175,,0.004449648711943794,0.8879103841277559,0.0006516841597860162
1,1,30,599.550784945,599.550784945,,0.010772833723653397,0.8879103841277559,0.0005335697179231265
1,1,31,658.727641105,658.727641105,,0.007176313148210104,0.8879103841277559,0.0004901312309135325
1,1,32,944.30033649,944.30033649,,0.008062897290063566,0.8879103841277559,0.0007066899842189032
1,1,33,1400.973687435,1400.973687435,,0.009434593509534963,0.8879103841277559,0.000994060469991424
1,1,34,1046.450599775,1046.450599775,,0.013783874205419874,0.8879103841277559,0.000872284588120106
1,1,35,1080.3559032,1080.3559032,,0.009083305453328873,0.8879103841277559,0.0007835658668340176
1,1,36,1246.18565205,1246.18565205,,0.009468049514887923,0.8879103841277559,0.0009287785545788853
1,1,37,1061.812560875,1061.812560875,,0.002693208430913349,0.8879103841277559,0.0007036267623092298
1,1,38,1294.376789695,1294.376789695,,0.0037136165941786554,0.8879103841277559,0.0006878379257445877
1,1,39,854.374566885,854.374566885,,0.004115088658414185,0.8879103841277559,0.0006568912773436916
1,1,40,387.518575525,387.518575525,,0.0007694881231180997,0.8879103841277559,0.0017869367279556062
1,1,41,664.764044035,664.764044035,,0.002576112412177986,0.8879103841277559,0.0009653174908090072
1,1,42,835.567770855,835.567770855,,0.00234192037470726,0.8879103841277559,0.0006516014950985233
1,1,43,833.066026485,833.066026485,,0.008782201405152226,0.8879103841277559,0.0008284846685903824
1,1,44,954.5422617099999,954.5422617099999,,0.005536968885915022,0.8879103841277559,0.0010972868362562529
1,1,45,1038.43043498,1038.43043498,,0.006707929073268652,0.8879103841277559,0.001187730976212366
1,1,46,1736.900797665,1736.900797665,,0.00466711274673804,0.8879103841277559,0.0019317028929773457
1,1,47,1667.898867035,1667.898867035,,0.017045834727333557,0.8879103841277559,0.002028980255513358
1,1,48,557.31858053,557.31858053,,0.020157243225158918,0.8879103841277559,0.0012698019603983323
1,1,49,891.26189926,891.26189926,,0.0024757443961191034,0.8879103841277559,0.0007545781817982634
1,1,50,1120.455792805,1120.455792805,,0.0032452325192372034,0.8879103841277559,0.0008331015979598483
1,1,51,1190.96812828,1190.96812828,,0.0172632987621278,0.8879103841277559,0.0007423048435588051
1,1,52,1440.52091655,1440.52091655,,0.00622281699565072,0.8879103841277559,0.0008719495666835175
1,1,53,1027.89164197,1027.89164197,,0.0019404483104717297,0.8879103841277559,0.0007387621933860135
1,1,54,1302.46454889,1302.46454889,,0.002408832385413182,0.8879103841277559,0.001016175389309074
